titulo_original,tmdb_id,tipo,season,episode,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Severance,95396,tv_episode,1,2,sv,SE,Swedish,Half Loop,Teamet utbildar nyanställda Helly på avdelningen för makrodataraffinering. Mark tar dagen ledigt för att träffa en mystisk före detta kollega.
Severance,95396,tv_episode,1,2,es,MX,Spanish,Medio bucle,"El equipo entrena a la nueva empleada, Helly, en el refinamiento de macrodatos. Mark se toma un día libre para reunirse con un misterioso excolega."
Severance,95396,tv_episode,1,2,pl,PL,Polish,Half Loop,"Zespół szkoli nową pracownicę Helly w zakresie rafinacji makrodanych. Mark bierze dzień wolnego, żeby spotkać się z tajemniczym byłym współpracownikiem."
Severance,95396,tv_episode,1,2,zh,TW,Mandarin,半環路,團隊成員訓練新人海莉進行巨量資料精算的工作。馬克休假一天，去和一位神秘的離職同事碰面。
Severance,95396,tv_episode,1,2,cs,CZ,Czech,Half Loop,Tým školí novou zaměstnankyni Helly v kultivaci makrodat. Mark si vezme den volna na setkání s tajemným bývalým kolegou.
Severance,95396,tv_episode,1,2,tr,TR,Turkish,Yarı Döngü,"Ekip, yeni işe alınan Helly'yi makroveri düzenleme konusunda eğitir. Mark, gizemli eski bir meslektaşıyla buluşmak için bir gün izin alır."
Severance,95396,tv_episode,1,2,nl,NL,Dutch,Half Loop,Het team traint de nieuwe collega Helly in de verfijning van macrodata. Mark blijft een dag weg van zijn werk en gaat langs bij een mysterieuze ex-collega.
Severance,95396,tv_episode,1,2,th,TH,Thai,กึ่งวัฏจักร,ทีมช่วยกันฝึกงานวิเคราะห์ข้อมูลมหภาพให้เฮลลี่ มาร์คลางานหนึ่งวันเพื่อไปพบกับอดีตเพื่อนร่วมงานปริศนา
Severance,95396,tv_episode,1,2,ar,SA,Arabic,"""هاف لوب""","الفريق يدرّب حديثة التعيين ""هيلي"" على تدقيق البيانات العامة. و""مارك"" يأخذ يوم إجازة لمقابلة زميل سابق غامض."
Severance,95396,tv_episode,1,2,fa,IR,Persian,نیمه حلقه,
Severance,95396,tv_episode,1,2,uk,UA,Ukrainian,Напівпетля,"Команда навчає нову працівницю Геллі очищенню макроданих. Марк бере вихідний, щоб зустрітися з загадковим колишнім колегою."
Severance,95396,tv_episode,1,2,lt,LT,Lithuanian,,
Severance,95396,tv_episode,1,2,zh,HK,Mandarin,半環,團隊為新入職的凱莉進行宏數據精化培訓。馬克請假去見神秘的前同事。
Severance,95396,tv_episode,1,2,da,DK,Danish,Half Loop,Teamet oplærer nyansatte Helly i forfinelse af makrodata. Mark tager en fridag for at mødes med en gådefuld tidligere kollega.
Severance,95396,tv_episode,1,2,zh,SG,Mandarin,半环,团队对新入职的员工赫莉进行了宏观数据精检培训。马克请了一天假去见神秘的前同事。
Severance,95396,tv_episode,1,2,vi,VN,Vietnamese,Một Nửa Vòng,"Nhóm đào tạo nhân viên mới, Helly, về tinh lọc dữ liệu vĩ mô. Mark nghỉ một ngày để gặp một đồng nghiệp cũ bí ẩn."
Severance,95396,tv_episode,1,2,sr,RS,Serbian,,
Severance,95396,tv_episode,1,2,fi,FI,Finnish,Half Loop,Tiimi kouluttaa uudelle työntekijälle Hellylle makrotietojenjalostusta. Mark pitää vapaapäivän tavatakseen salaperäisen entisen kollegan.
Severance,95396,tv_episode,1,2,bg,BG,Bulgarian,,
Severance,95396,tv_episode,1,2,sl,SI,Slovenian,,
Severance,95396,tv_episode,1,2,ar,AE,Arabic,"""هاف لوب""","الفريق يدرّب حديثة التعيين ""هيلي"" على تدقيق البيانات العامة. و""مارك"" يأخذ يوم إجازة لمقابلة زميل سابق غامض."
Severance,95396,tv_episode,1,2,fr,CA,French,Demi-boucle,L'équipe forme la nouvelle recrue Helly au raffinement des macrodonnées. Mark prend un jour de congé pour rencontrer un ancien collègue mystérieux.
Severance,95396,tv_episode,1,2,hi,IN,Hindi,हाफ़ लूप,"टीम नई कर्मचारी, हेल्ली को मैक्रोडेटा रिफ़ाइनमेंट में प्रशिक्षण देती है। मार्क एक रहस्यमयी पूर्व सहयोगी से मिलने के लिए एक दिन की छुट्टी लेता है।"
Severance,95396,tv_episode,1,2,id,ID,Indonesian,Setengah Putaran,"Para anggota tim melatih karyawan baru, Helly, dalam penyempurnaan makrodata. Mark mengambil cuti untuk menemui mantan rekan kerja yang misterius."
Severance,95396,tv_episode,1,2,no,NO,Norwegian,Half Loop,Teamet lærer opp nyansatte Helly innen raffinering av makrodata. Mark tar en fridag for å møte en mystisk tidligere kollega.
Severance,95396,tv_episode,1,2,pt,PT,Portuguese,Meio ciclo,"A equipa treina a nova funcionária, Helly, no refinamento de macrodados. Mark tira um dia de folga para se encontrar com um antigo colega misterioso."
Severance,95396,tv_episode,1,2,sk,SK,Slovak,Half Loop,"Tím zaúča novú kolegyňu Helly o úprave makrodát. Mark si vezme deň voľna, aby sa stretol s tajomným bývalým kolegom."
Severance,95396,tv_episode,1,2,et,EE,Estonian,,
Severance,95396,tv_episode,1,2,ro,RO,Romanian,Jumătate de buclă,"Echipa o instruiește pe noua angajată, Helly, în procesul de rafinare a macrodatelor. Mark își ia o zi liberă pentru a se întâlni cu un fost coleg misterios."
Severance,95396,tv_episode,1,2,hr,HR,Croatian,,
Severance,95396,tv_episode,1,2,ka,GE,Georgian,,
