titulo_original,tmdb_id,tipo,season,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Stranger Things,66732,tv_season,5,sk,SK,Slovak,,"Na jeseň roku 1987 vydesia celý Hawkins otvorené trhliny a naši hrdinovia majú razom nový cieľ: nájsť a zabiť Vecnu. Ten ale akoby sa do zeme prepadol - nevie sa, kde je ani čo má za lubom. Aby to mali ešte ťažšie, úrady vyhlásili v meste karanténu a s pomocou armády usilovne pátrajú po Jedenástke, ktorá sa tým pádom zase musí skrývať. S blížiacim sa výročím Willovho zmiznutia sa navyše vracia aj desivá stará hrozba. Schyľuje sa k rozhodujúcej bitke, temnota je čím ďalej silnejšia a vražedná ako nikdy predtým. Na túto nočnú moru bude platiť jediné: celá partia musí až do konca ťahať za jeden povraz."
Stranger Things,66732,tv_season,5,tr,TR,Turkish,,
Stranger Things,66732,tv_season,5,sr,RS,Serbian,,
Stranger Things,66732,tv_season,5,es,MX,Spanish,,
Stranger Things,66732,tv_season,5,nl,NL,Dutch,,
Stranger Things,66732,tv_season,5,hr,HR,Croatian,,
Stranger Things,66732,tv_season,5,pt,PT,Portuguese,,
Stranger Things,66732,tv_season,5,ro,RO,Romanian,,
Stranger Things,66732,tv_season,5,fr,CA,French,,
Stranger Things,66732,tv_season,5,bg,BG,Bulgarian,,
Stranger Things,66732,tv_season,5,no,NO,Norwegian,,
Stranger Things,66732,tv_season,5,ko,KR,Korean,기묘한 이야기 5,
Stranger Things,66732,tv_season,5,fi,FI,Finnish,,
Stranger Things,66732,tv_season,5,fa,IR,Persian,,
Stranger Things,66732,tv_season,5,ar,SA,Arabic,,
Stranger Things,66732,tv_season,5,vi,VN,Vietnamese,,
Stranger Things,66732,tv_season,5,ja,JP,Japanese,ストレンジャー・シングス 未知の世界 5,
Stranger Things,66732,tv_season,5,th,TH,Thai,,
Stranger Things,66732,tv_season,5,ka,GE,Georgian,,
Stranger Things,66732,tv_season,5,uz,UZ,Uzbek,,
Stranger Things,66732,tv_season,5,ar,AE,Arabic,,
Stranger Things,66732,tv_season,5,eu,ES,Basque,,
Stranger Things,66732,tv_season,5,so,SO,Somali,,
Stranger Things,66732,tv_season,5,bn,BD,Bengali,,
Stranger Things,66732,tv_season,5,nl,BE,Dutch,,
Stranger Things,66732,tv_season,5,zh,HK,Mandarin,,
Stranger Things,66732,tv_season,5,zh,SG,Mandarin,,
Stranger Things,66732,tv_season,5,sl,SI,Slovenian,,
Stranger Things,66732,tv_season,5,hi,IN,Hindi,,
Stranger Things,66732,tv_season,5,ms,MY,Malay,,
Stranger Things,66732,tv_season,5,tl,PH,Tagalog,,
Stranger Things,66732,tv_season,5,lv,LV,Latvian,,
Stranger Things,66732,tv_season,5,de,AT,German,,
