titulo_original,tmdb_id,tipo,season,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Severance,95396,tv_season,1,he,IL,Hebrew,,"בתעשיות לומון, עובדים עוברים ""ניתוק"", הליך המפריד בין זיכרונות העבודה והזיכרונות האישיים שלהם. מארק, מנהל צוות המתאבל על אובדן, מתחיל לחשוף את הסודות האפלים של החברה, מה שמאלץ אותו ואת עמיתיו לעבודה להתמודד עם שאלות של זהות, בחירה חופשית ושליטה תאגידית."
Severance,95396,tv_season,1,fr,FR,French,,"Mark Scout travaille pour Lumon Industries, où il dirige une équipe dont les employés subissent une opération chirurgicale de séparation entre leurs souvenirs liés à leur vie professionnelle et ceux liés à leur vie privée. Cette expérience risquée de l’équilibre entre travail et vie personnelle est remise en cause lorsque Mark se retrouve au cœur d’un mystère qui le forcera à affronter la vraie nature de son travail … et la sienne."
Severance,95396,tv_season,1,zh,CN,Mandarin,,在卢蒙工业公司，员工们接受了一种名为“分离”的手术，该手术将他们的工作记忆与个人记忆分割开来。马克是一位沉浸在悲痛中的团队领导，他开始揭露公司内部的黑暗秘密，这迫使他及其同事们不得不面对身份认同、自由意志以及企业控制等深刻问题。
Severance,95396,tv_season,1,sv,SE,Swedish,,
Severance,95396,tv_season,1,es,MX,Spanish,,
Severance,95396,tv_season,1,pl,PL,Polish,,"W Lumon Industries pracownicy przechodzą ""rozdzielenie"", procedurę oddzielającą ich wspomnienia zawodowe od osobistych. Mark, pogrążony w żałobie lider zespołu, zaczyna odkrywać mroczne sekrety firmy, zmuszając go i jego współpracowników do zmierzenia się z pytaniami o tożsamość, wolną wolę i kontrolę korporacyjną."
Severance,95396,tv_season,1,zh,TW,Mandarin,第一季,
Severance,95396,tv_season,1,cs,CZ,Czech,,"Ve společnosti Lumon Industries zaměstnanci podstupují „odloučení“, což je procedura, která rozděluje jejich práci a osobní vzpomínky. Mark, truchlící vedoucí týmu, začíná odhalovat temná tajemství společnosti a nutí jeho a jeho spolupracovníky čelit otázkám identity, svobodné vůle a firemní kontroly."
Severance,95396,tv_season,1,tr,TR,Turkish,,
Severance,95396,tv_season,1,nl,NL,Dutch,,
Severance,95396,tv_season,1,th,TH,Thai,,
Severance,95396,tv_season,1,ar,SA,Arabic,,"في شركة لومون إندستريز، يخضع الموظفون لإجراء ""الشَّطْر""، الذي يفصل بين ذكريات العمل والحياة الشخصية. يبدأ مارك، قائد الفريق الذي يعاني من الحزن، في كشف أسرار الشركة المظلمة، مما يدفعه وزملاءه لمواجهة أسئلة حول الهوية والإرادة الحرة وسيطرة الشركات."
Severance,95396,tv_season,1,fa,IR,Persian,فصل ۱,
Severance,95396,tv_season,1,uk,UA,Ukrainian,,
Severance,95396,tv_season,1,lt,LT,Lithuanian,,
Severance,95396,tv_season,1,zh,HK,Mandarin,,
Severance,95396,tv_season,1,da,DK,Danish,,
Severance,95396,tv_season,1,zh,SG,Mandarin,,
Severance,95396,tv_season,1,vi,VN,Vietnamese,Mùa 1,
Severance,95396,tv_season,1,sr,RS,Serbian,,
Severance,95396,tv_season,1,fi,FI,Finnish,,
Severance,95396,tv_season,1,bg,BG,Bulgarian,,"В ""Люмон Индъстрис"", служителите преминават през ""отпускане"", процедура, разделяща работата и личните им спомени. Марк, тъжен ръководител на екипа, започва да разкрива тъмните тайни на компанията, принуждавайки него и колегите му да се изправят пред въпроси за идентичност, свободна воля и корпоративен контрол."
Severance,95396,tv_season,1,sl,SI,Slovenian,,
Severance,95396,tv_season,1,ar,AE,Arabic,,
Severance,95396,tv_season,1,fr,CA,French,,
Severance,95396,tv_season,1,hi,IN,Hindi,,
Severance,95396,tv_season,1,id,ID,Indonesian,,
Severance,95396,tv_season,1,no,NO,Norwegian,,
Severance,95396,tv_season,1,pt,PT,Portuguese,,
Severance,95396,tv_season,1,sk,SK,Slovak,,
Severance,95396,tv_season,1,et,EE,Estonian,,
Severance,95396,tv_season,1,ro,RO,Romanian,,"La Lumon Industries, angajații trec printr-o procedură numită „severance”, care le separă amintirile de la muncă de cele personale. Mark, un lider de echipă îndurerat, începe să descopere secretele întunecate ale companiei, forțându-l pe el și pe colegii săi să se confrunte cu întrebări despre identitate, liber arbitru și control corporatist."
Severance,95396,tv_season,1,hr,HR,Croatian,,
Severance,95396,tv_season,1,ka,GE,Georgian,,
